chrom,num_fragments,mean,median,min,max
NT_173277.1,30,100.06666666666666,75.5,5,322
NT_173278.1,28,107.32142857142857,78.5,5,545
NT_173279.1,14,214.78571428571428,138.0,14,987
NT_173280.1,16,188.0,184.0,5,512
NT_173281.1,30,100.53333333333333,66.0,5,544
NT_173282.1,20,150.9,87.0,11,762
NT_173283.1,26,116.38461538461539,94.5,5,339
NT_173284.1,26,117.0,78.5,5,547
NT_173285.1,22,138.63636363636363,114.0,6,545
NT_173286.1,35,87.51428571428572,73.0,5,208
NT_173287.1,32,95.75,63.0,5,408
NT_173288.1,32,96.09375,66.0,5,321
NT_173289.1,13,237.0,246.0,71,510
NT_173290.1,31,99.64516129032258,87.0,7,208
NT_173291.1,29,106.58620689655173,70.0,5,545
NT_173292.1,20,154.95,146.5,2,375
NT_173293.1,32,96.96875,63.5,5,358
NT_173294.1,30,104.0,72.5,6,320
NT_173295.1,28,113.0,87.5,5,545
NT_173296.1,23,137.69565217391303,113.0,5,537
NT_173297.1,22,144.13636363636363,128.0,6,545
NT_173298.1,33,96.18181818181819,87.0,14,208
NT_173299.1,33,96.39393939393939,121.0,5,237
NT_173300.1,28,114.60714285714286,72.5,5,331
NT_173301.1,8,403.125,270.5,12,1217
NT_173302.1,30,107.73333333333333,69.5,5,402
NT_173303.1,13,249.76923076923077,155.0,28,1056
NT_173304.1,22,147.6818181818182,78.5,5,545
NT_173305.1,25,130.2,100.0,6,518
NT_173306.1,33,98.78787878787878,73.0,11,286
NT_173307.1,27,120.81481481481481,70.0,5,431
NT_173308.1,16,205.125,159.0,28,695
NT_173309.1,8,411.125,384.0,67,787
NT_173310.1,14,235.42857142857142,112.5,12,945
NT_173311.1,29,113.6896551724138,66.0,5,545
NT_173312.1,14,236.14285714285714,168.5,28,510
NT_173313.1,28,118.07142857142857,72.5,5,545
NT_173314.1,27,122.48148148148148,100.0,9,427
NT_173315.1,23,144.0,133.0,10,412
NT_173316.1,35,94.68571428571428,84.0,17,560
NT_173317.1,21,157.95238095238096,79.0,21,665
NT_173318.1,17,195.35294117647058,127.0,26,525
NT_173319.1,17,195.52941176470588,168.0,28,361
NT_173320.1,29,114.6896551724138,75.0,5,512
NT_173321.1,25,133.32,189.0,10,311
NT_173322.1,28,120.71428571428571,66.0,5,544
NT_173323.1,32,105.90625,69.5,5,545
NT_173324.1,31,109.35483870967742,82.0,5,545
NT_173325.1,30,113.03333333333333,76.0,5,545
NT_173326.1,27,125.70370370370371,100.0,6,545
NT_173327.1,31,109.93548387096774,70.0,5,516
NT_173328.1,15,227.33333333333334,209.0,23,586
NT_173329.1,28,121.82142857142857,72.5,5,545
NT_173330.1,34,100.41176470588235,72.5,7,416
NT_173331.1,7,488.42857142857144,213.0,39,2274
NT_173332.1,28,122.46428571428571,72.5,5,545
NT_173333.1,29,118.48275862068965,75.0,5,545
NT_173334.1,34,101.29411764705883,73.0,5,452
NT_173335.1,31,111.38709677419355,70.0,3,519
NT_173336.1,31,112.41935483870968,69.0,5,733
NT_173337.1,35,100.08571428571429,69.0,5,545
NT_173338.1,32,109.625,84.0,6,324
NT_173339.1,29,121.24137931034483,93.0,5,358
NT_173340.1,29,121.44827586206897,75.0,5,543
NT_173341.1,17,207.41176470588235,148.0,9,950
NT_173342.1,30,117.73333333333333,68.0,5,544
NT_173343.1,37,96.27027027027027,70.0,5,275
NT_173344.1,30,119.26666666666667,72.5,5,547
NT_173345.1,32,112.75,69.5,1,545
NT_173346.1,31,118.6774193548387,93.0,5,544
NT_173347.1,14,263.07142857142856,168.0,54,700
NT_173348.1,12,307.9166666666667,270.0,26,884
NT_173349.1,32,115.78125,72.0,5,546
NT_173350.1,38,97.5,77.0,14,208
NT_173351.1,27,137.4814814814815,138.0,4,355
NT_173352.1,17,218.76470588235293,214.0,10,511
NT_173353.1,14,266.92857142857144,102.5,6,1532
NT_173354.1,20,187.15,175.5,17,408
NT_173355.1,14,267.42857142857144,237.0,11,774
NT_173356.1,38,98.94736842105263,118.0,5,292
NT_173357.1,31,121.29032258064517,70.0,5,569
NT_173358.1,33,114.21212121212122,103.0,9,415
NT_173359.1,34,111.29411764705883,73.0,5,545
NT_173360.1,14,271.7857142857143,147.5,26,793
NT_173361.1,32,119.09375,78.5,5,545
NT_173362.1,31,123.12903225806451,100.0,9,547
NT_173363.1,38,100.84210526315789,103.0,7,208
NT_173364.1,34,112.73529411764706,66.0,5,545
NT_173365.1,35,109.88571428571429,75.0,5,544
NT_173366.1,35,110.22857142857143,93.0,5,543
NT_173367.1,36,107.27777777777777,75.0,5,321
NT_173368.1,20,194.0,148.0,8,515
NT_173369.1,18,216.16666666666666,137.0,7,1185
NT_173370.1,34,114.79411764705883,69.5,5,546
NT_173371.1,35,112.94285714285714,77.0,5,489
NT_173372.1,35,113.42857142857143,75.0,5,548
NT_173373.1,16,248.5625,161.5,16,828
NT_173374.1,36,110.66666666666667,69.5,5,546
NT_173375.1,39,102.46153846153847,63.0,2,559
NT_173376.1,22,181.86363636363637,100.5,7,677
NT_173377.1,38,105.44736842105263,69.5,4,369
NT_173378.1,35,114.8,74.0,5,545
NT_173379.1,36,111.63888888888889,70.5,5,545
NT_173380.1,33,121.93939393939394,70.0,5,545
NT_173381.1,34,118.55882352941177,69.5,5,660
NT_173382.1,37,109.08108108108108,75.0,5,359
NT_173383.1,36,112.88888888888889,72.0,5,444
NT_173384.1,10,411.0,184.0,13,1510
NT_173385.1,36,114.44444444444444,72.5,1,545
NT_173386.1,38,108.97368421052632,71.5,5,547
NT_173387.1,31,133.93548387096774,117.0,5,430
NT_173388.1,37,112.83783783783784,69.0,5,544
NT_173389.1,35,119.34285714285714,75.0,4,428
NT_173390.1,30,139.3,96.5,15,510
NT_173391.1,32,130.90625,110.5,6,545
NT_173392.1,36,116.61111111111111,85.5,5,562
NT_173393.1,40,105.6,69.5,5,543
NT_173394.1,45,93.93333333333334,70.0,5,545
NT_173395.1,36,117.94444444444444,78.5,5,544
NT_173396.1,14,304.2857142857143,196.0,28,1230
NT_173397.1,14,305.7142857142857,189.0,26,1534
NT_173398.1,37,116.29729729729729,69.0,4,545
NT_173399.1,37,116.4054054054054,100.0,5,358
NT_173400.1,26,166.23076923076923,77.5,13,710
NT_173401.1,40,109.075,72.5,5,545
NT_173402.1,43,101.79069767441861,59.0,4,544
NT_173403.1,30,146.5,106.0,16,375
NT_173404.1,21,209.76190476190476,121.0,6,1718
NT_173405.1,13,338.84615384615387,289.0,39,820
NT_173406.1,39,113.48717948717949,75.0,5,545
NT_173407.1,44,101.06818181818181,66.0,5,357
NT_173408.1,36,123.83333333333333,118.0,5,545
NT_173409.1,21,212.52380952380952,99.0,29,1506
NT_173410.1,35,127.77142857142857,75.0,5,546
NT_173411.1,37,121.32432432432432,82.0,5,547
NT_173412.1,38,118.23684210526316,75.0,5,544
NT_173413.1,44,102.9090909090909,72.5,5,431
NT_173414.1,24,188.91666666666666,110.0,4,766
NT_173415.1,42,107.97619047619048,69.5,5,522
NT_173416.1,39,116.66666666666667,73.0,5,545
NT_173417.1,48,95.1875,66.0,5,560
NT_173418.1,39,117.38461538461539,75.0,5,451
NT_173419.1,45,101.91111111111111,69.0,3,439
NT_173420.1,40,114.775,79.5,5,545
NT_173421.1,27,170.1851851851852,159.0,9,936
NT_173422.1,40,115.225,69.5,6,545
NT_173423.1,43,107.23255813953489,69.0,5,547
NT_173424.1,24,192.66666666666666,129.0,4,1098
NT_173425.1,40,116.225,87.5,5,358
NT_173426.1,36,129.33333333333334,75.5,5,721
NT_173427.1,40,116.4,87.5,5,545
NT_173428.1,42,110.88095238095238,84.0,5,451
NT_173429.1,40,116.975,73.0,5,750
NT_173430.1,21,223.0952380952381,213.0,12,513
NT_173431.1,49,95.65306122448979,52.0,5,320
NT_173432.1,23,204.34782608695653,164.0,28,525
NT_173433.1,41,114.70731707317073,81.0,5,542
NT_173434.1,43,109.53488372093024,82.0,5,545
NT_173435.1,29,163.0,124.0,4,585
NT_173436.1,40,118.5,78.5,9,546
NT_173437.1,44,107.75,69.5,5,545
NT_173438.1,41,115.90243902439025,81.0,5,545
NT_173439.1,40,118.925,78.5,5,649
NT_173440.1,24,198.29166666666666,121.0,19,858
NT_173441.1,43,110.69767441860465,70.0,5,527
NT_173442.1,42,113.5,70.5,5,548
NT_173443.1,41,116.26829268292683,63.0,5,529
NT_173444.1,43,110.90697674418605,70.0,5,546
